ID,Name,Designator,Footprint,Quantity
1,10uF,"C1,C53,C54,C39,C40,C49",C0603,6
2,0.1u,"C2,C3,C6,C34,C55,C56,C57,C59",C0402,8
3,22uF,C12,C0805,1
4,0.1u,C35,C0805,1
5,100nF,"C41,C47,C48,C50",C0603,4
6,100pF,C42,C0402,1
7,10uF,"C44,C45",C1206,2
8,0.1u,C46,C0603,1
9,0.1uF,"C51,C52",C0402,2
10,10u,C58,C0402,1
11,DB2ERC-3.81-4P-BK,CN1,CONN-TH_4P-P3.81_DB2ERC-3.81-4P-BK,1
12,SMF30A_C364281,D1,SOD-123FL_L2.6-W1.6-LS3.4-R-FD,1
13,DSK34,D7,SOD-123_L2.8-W1.8-LS3.9-FD,1
14,B5819W_C8598,D8,SOD-123_L2.7-W1.6-LS3.7-RD-1,1
15,SMAJ30A,D9,SMA_L4.4-W2.8-LS5.4-R-RD,1
16,DC-042C-W-2.0,DC2,DC-IN-TH_DC-042C-W-2.0,1
17,35V20A,F2,F1206,1
18,2510S-4P,FAN1,CONN-TH_4P-P2.54_A2510S-4P,1
19,0.5K-A-10PB,FPC2,CONN-SMD_0.5K-A-10PB,1
20,2p_2.54插座,J,DIP-2PIN-2.54-RECT-2.54X2.54-E,1
21,10uH,L4,L0805,1
22,4.7uH,L5,IND-SMD_L7.0-W6.6_FXL0630,1
23,6.8uH,L6,L1207,1
24,MF52,NTC1,RES-TH_L2.5-W2.5-P1.70-D0.3,1
25,S8050,"Q1,Q10",SOT-23(SOT-23-3),2
26,IRFP4668,"Q2,Q7",卧式TO-247封装,2
27,1K,"R1,R2,R3,R5,R6,R8,R9,R11,R49,R55,R13,R45",R0402,12
28,20K,"R4,R7",R0402,2
29,10k,"R10,R24",R0402,2
30,100k,"R27,R38,R39",R0402,3
31,3K,R32,R0402,1
32,57K,R33,R0402,1
33,9k,"R36,R37",R0402,2
34,4.7K,"R40,R41",R0402,2
35,10K,R42,R0603,1
36,0R,R47,R0603,1
37,10K,R50,R0402,1
38,33K,R51,R0402,1
39,1M,R52,R0402,1
40,0.005,"U3,U18",R2512,2
41,GH1.25-7PLTPZ,U4,CONN-SMD_GH1.25-7PLTPZ,1
42,MCP4725A0T-E/CH,U9,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1
43,SX1308,U10,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1
44,ME3116A,U11,ME3116A,1
45,RS8557XF,U13,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1
46,0.002,U15,R2512,1
47,INA226AIDGSR,U16,INA226-MSOP-10_10P,1
48,CH224K,U17,ESSOP10-EP,1
49,ANT_CrossAir_CA-C03,U22,ANT_CROSSAIR_CA-C03,1
50,ESP32-PICO-D4,U23,QFN-48_L7.0-W7.0-P0.50-BL-EP5.1,1
51,TYPEC-304S-ACP16,USB1,USB-C-SMD_TYPEC-304S-ACP16,1
52,LM324DT,U1,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1
